,AUC,Accuracy,Author,F1,Num_Samples
0,0.9666208791208791,0.9784172661870504,אביגדור המאירי,0.9783125028996981,1556.0
1,0.875,0.8823529411764706,אברהם לוינסון,0.8798319327731091,45.0
2,0.6666666666666667,0.8048780487804879,אברהם רגלסון,0.7679231337767923,145.0
3,0.5,0.75,אברהם שוער,0.8571428571428571,14.0
4,0.5,0.6666666666666666,אברהם שטרן,0.8,11.0
5,0.5,0.8,אברהם שלום פרידברג,0.888888888888889,16.0
6,0.5384615384615384,0.76,אברהם שמואל שטיין,0.6738870431893688,185.0
7,0.5,0.7333333333333333,אהוד בן עזר,0.846153846153846,109.0
8,1.0,1.0,אהרן אברהם קבק,1.0,15.0
9,0.625,0.8125,אהרן אמיר,0.7666666666666667,58.0
10,0.625,0.8235294117647058,אהרן דוד גורדון,0.7797160243407708,61.0
11,0.5,0.6666666666666666,אהרן דוד מרקסון,0.8,10.0
12,0.75,0.8571428571428571,אהרן מגד,0.8398268398268397,25.0
13,0.5,0.75,אהרן פולאק,0.8571428571428571,13.0
14,0.75,0.8571428571428571,אהרן ראובני,0.8398268398268397,23.0
15,0.5,0.6666666666666666,אורי ניסן גנסין,0.8,20.0
16,0.5,0.7586206896551724,אחד העם,0.8627450980392157,107.0
17,0.5909090909090908,0.6785714285714286,אידה צורית,0.6009455660618451,87.0
18,0.625,0.7222222222222222,איסאק באבל,0.691358024691358,61.0
19,0.5,0.6666666666666666,אליהו מידניק,0.8,10.0
20,0.5,0.7777777777777778,אליעזר בן־יהודה,0.8750000000000001,33.0
21,0.5,0.75,אליעזר שטיינמן,0.8571428571428571,59.0
22,0.6666666666666667,0.8,אליעזר שמאלי,0.7625000000000001,34.0
23,0.75,0.875,אלישע פורת,0.8589743589743589,89.0
24,0.5,0.8,אלכסנדר אהרנסון,0.888888888888889,16.0
25,0.4583333333333333,0.6875,אלכסנדר זיסקינד רבינוביץ',0.611111111111111,57.0
26,0.5,0.7333333333333333,אלתר דרויאנוב,0.846153846153846,112.0
27,0.7291666666666667,0.84375,אסתר ראב,0.830316742081448,119.0
28,0.5,0.8,אפרים דינרד,0.888888888888889,18.0
29,0.5,0.6666666666666666,בן אביגדור,0.8,20.0
30,0.5,0.7307692307692307,בנימין זאב הרצל,0.8444444444444442,95.0
31,0.6666666666666667,0.8461538461538461,בנימין תמוז,0.8146853146853146,47.0
32,0.625,0.7857142857142857,בר טוביה,0.7354037267080746,50.0
33,0.5,0.49586776859504134,ברל כצנלסון,0.6629834254143646,302.0
34,0.5714285714285714,0.7931034482758621,דבורה בארון,0.7279310344827586,106.0
35,0.6521739130434783,0.8260869565217391,דוד בן־גוריון,0.7887445887445886,342.0
36,0.75,0.8888888888888888,דוד ילין,0.874074074074074,32.0
37,0.5,0.8,דוד ישעיהו זילברבוש,0.888888888888889,18.0
38,0.5,0.75,דוד פרישמן,0.8571428571428571,165.0
39,0.625,0.6666666666666666,דוד שחם,0.6666666666666666,19.0
40,0.5,0.75,דן אלמגור,0.8571428571428571,29.0
41,0.5,0.75,הנס כריסטיאן אנדרסן,0.8571428571428571,28.0
42,0.5,0.75,זאב אלבלינגר,0.8571428571428571,14.0
43,0.5,0.7419354838709677,זאב ז'בוטינסקי,0.8518518518518519,114.0
44,0.5,0.7,זלמן אפשטין,0.8235294117647058,34.0
45,0.5,0.6666666666666666,זלמן יצחק אנכי,0.8,21.0
46,0.6,0.8095238095238095,חגי אשד,0.7566137566137566,77.0
47,0.75,0.8,חיים ארלוזורוב,0.780952380952381,46.0
48,0.9,0.8571428571428571,חיים דוד נוסבוים,0.8634920634920634,25.0
49,0.75,0.8571428571428571,חיים הררי,0.8398268398268397,24.0
50,0.5,0.7441860465116279,חיים נחמן ביאליק,0.8533333333333333,161.0
51,0.9241551459293396,0.9337349397590361,חנוך ברטוב,0.9344717363472186,617.0
52,0.7142857142857143,0.8461538461538461,חנניה ריכמן,0.8227106227106227,94.0
53,0.5,0.8,יאנוש קורצ'אק,0.888888888888889,16.0
54,0.5,0.8,יהודה ליב בנימין בן ישראל קצנלסון,0.888888888888889,18.0
55,0.5,0.75,יהודה ליב גורדון,0.8571428571428571,27.0
56,0.7631578947368421,0.7954545454545454,יהודה שטיינברג,0.7793156580415495,121.0
57,0.5,0.6666666666666666,יהושע בן מאיר משה ברזלי,0.8,10.0
58,0.5,0.75,יהושע חנא רבניצקי,0.8571428571428571,12.0
59,0.5,0.7368421052631579,יוסף אהרונוביץ,0.8484848484848484,70.0
60,0.75,0.8571428571428571,יוסף אורן,0.8398268398268397,26.0
61,0.625,0.8,יוסף אריכא,0.752,54.0
62,0.7083333333333333,0.8125,יוסף זליגר,0.8028571428571428,59.0
63,0.5256410256410257,0.75,יוסף חיים ברנר,0.6737827715355806,192.0
64,0.5,0.7692307692307693,יוסף יושעה ריבלין,0.8695652173913044,46.0
65,0.5,0.6666666666666666,יעקב רבינוביץ',0.8,22.0
66,0.7272727272727273,0.8636363636363636,יעקב שטיינברג,0.84375,165.0
67,0.5,0.7647058823529411,יצחק בן־דור,0.8666666666666666,61.0
68,0.5694444444444444,0.7708333333333334,יצחק לופבן,0.7148148148148149,179.0
69,0.6145833333333333,0.796875,יצחק ליבוש פרץ,0.7541165999109924,238.0
70,0.5,0.7692307692307693,יצחק פרנהוף,0.8695652173913044,48.0
71,0.5,0.6666666666666666,יצחק שמי,0.8,11.0
72,0.6,0.7894736842105263,ישורון קשת,0.7324561403508772,68.0
73,0.6818181818181819,0.8157894736842105,ישעיהו אברך,0.7833764739718149,135.0
74,0.5,0.7333333333333333,ישעיהו ברשדסקי,0.846153846153846,53.0
75,0.7,0.8421052631578947,ישעיהו קרניאל,0.815910744603444,70.0
76,0.75,0.8571428571428571,ישראל בנימין לבנר,0.8398268398268397,25.0
77,0.5,0.7692307692307693,ישראל דושמן,0.8695652173913044,47.0
78,1.0,1.0,ישראל זרחי,1.0,15.0
79,0.7118055555555556,0.8333333333333334,ישראל כהן,0.8126984126984126,239.0
80,0.5,0.6666666666666666,ישראל מהלמן,0.8,11.0
81,1.0,1.0,לב טולסטוי,1.0,13.0
82,0.5,0.75,לוקיוס אנאוס סנקה,0.8571428571428571,12.0
83,1.0,1.0,מ. סיקו (מאיר סמילנסקי),1.0,17.0
84,0.5,0.8,מאיר שָׂשׂ,0.888888888888889,16.0
85,0.5828804347826086,0.7741935483870968,מיכה יוסף ברדיצ'בסקי,0.7194789081885855,229.0
86,0.5,0.7142857142857143,מנדלי מוכר ספרים,0.8333333333333333,23.0
87,0.6,0.7777777777777778,מנחם אוסישקין,0.7185185185185186,66.0
88,0.5,0.75,מנחם שטיין,0.8571428571428571,29.0
89,0.6666666666666667,0.8461538461538461,מנחם שינקין,0.8146853146853146,48.0
90,0.5,0.7,מנשה לוין,0.8235294117647058,36.0
91,0.75,0.8888888888888888,מקס נורדאו,0.874074074074074,31.0
92,0.5,0.8,מקסים גורקי,0.888888888888889,16.0
93,0.5,0.7,מרדכי בן הלל הכהן,0.8235294117647058,36.0
94,0.5,0.6666666666666666,מרדכי דוד ברנדשטטר,0.8,10.0
95,0.5,0.75,מרדכי צבי מאנה,0.8571428571428571,12.0
96,0.5,0.7380952380952381,משה בילינסון,0.8493150684931507,156.0
97,0.5,0.7142857142857143,משה בסוק,0.8333333333333333,25.0
98,0.5769230769230769,0.5769230769230769,משה גליקסון,0.4846846846846847,63.0
99,0.6875,0.8387096774193549,משה ליב לילינבלום,0.80995917428555,113.0
100,0.5,0.7692307692307693,משה סמילנסקי,0.8695652173913044,47.0
101,0.6,0.8,נחום סוקולוב,0.7450980392156863,73.0
102,1.0,1.0,נחמה פוחצ'בסקי,1.0,18.0
103,0.5,0.75,נתן אליהשווילי,0.8571428571428571,13.0
104,0.7565982404692082,0.8571428571428571,נתן אלתרמן,0.8455988455988455,154.0
105,0.5865384615384616,0.7647058823529411,נתן שחם,0.7338935574229692,62.0
106,0.725,0.8641975308641975,ס. יזהר,0.8440577817468319,301.0
107,0.6666666666666667,0.75,עזריאל נתן פרנק,0.7083333333333333,23.0
108,0.963768115942029,0.9782608695652174,עמוס אריכא,0.9780975219824141,689.0
109,0.5,0.6666666666666666,עמוס קינן,0.8,10.0
110,0.5,0.7,עמנואל בן-גריון,0.8235294117647058,36.0
111,1.0,1.0,פישל לחובר,1.0,16.0
112,0.5,0.6666666666666666,פנחס גריבסקי,0.8,21.0
113,0.5,0.6666666666666666,פניה ברגשטיין,0.8,21.0
114,0.6666666666666667,0.6363636363636364,פרץ סמולנסקין,0.5974025974025974,26.0
115,0.8357007575757577,0.8928571428571429,צבי שרפשטיין,0.8869686411149825,476.0
116,0.5,0.75,קארל צ'אפק,0.8571428571428571,12.0
117,0.5,0.75,קדיש יהודה סילמן,0.8571428571428571,14.0
118,0.5,0.75,קלמן שולמן,0.8571428571428571,29.0
119,0.75,0.8695652173913043,ראובן בריינין,0.8531139835487661,86.0
120,0.5,0.8,ראובן פאהן,0.888888888888889,17.0
121,0.7142857142857143,0.8620689655172413,רות בונדי,0.8402298850574712,108.0
122,0.5,0.7692307692307693,רחל אליאור,0.8695652173913044,48.0
123,0.5,0.5,רחל בלובשטיין,0.6666666666666666,19.0
124,0.5,0.7142857142857143,רפאל ספורטה,0.8333333333333333,24.0
125,1.0,1.0,שארל בודלר,1.0,10.0
126,0.5833333333333333,0.782608695652174,שולמית הראבן,0.7189042841216755,86.0
127,0.4807692307692308,0.6944444444444444,שושנה שרירא,0.5919854280510018,127.0
128,0.5,0.6666666666666666,שלום דב בר מקסימון,0.8,11.0
129,0.6041666666666667,0.7272727272727273,שלום עליכם,0.7080213903743316,41.0
130,0.5,0.6666666666666666,שלום שטריט,0.8,11.0
131,0.5,0.75,שלמה צמח,0.8571428571428571,29.0
132,0.5,0.6666666666666666,שלמה קפלנסקי,0.8,20.0
133,0.5,0.6666666666666666,שלמה שבא,0.8,22.0
134,0.7142857142857143,0.8620689655172413,שלמה שפאן,0.8402298850574712,108.0
135,0.5,0.7272727272727273,שמואל גילר,0.8421052631578948,40.0
136,0.5,0.75,שמואל טשרנוביץ,0.8571428571428571,30.0
137,0.5,0.75,שמואל יוסף פין,0.8571428571428571,12.0
138,0.5,0.7692307692307693,שמואל ליב ציטרון,0.8695652173913044,47.0
139,0.6666666666666667,0.8333333333333334,שמחה בן-ציון,0.7999999999999999,45.0
140,0.5,0.7692307692307693,שמריהו לוין,0.8695652173913044,47.0
141,0.8326403326403327,0.9,תקוה שריג,0.8954263128176172,185.0
